date,category,revenue,expenses,profit,product_id,product_name,month,quarter,year
2024-01-01,Электроника,15000,10500,4500,1,iPhone 14,Январь,Q1,2024
2024-01-01,Одежда и обувь,8000,5200,2800,4,Nike Air Max,Январь,Q1,2024
2024-01-01,Бытовая техника,4500,3150,1350,7,KitchenAid Mixer,Январь,Q1,2024
2024-01-01,Мебель,3200,1920,1280,9,IKEA Billy Bookcase,Январь,Q1,2024
2024-02-01,Электроника,16800,11760,5040,2,Samsung Galaxy S23,Февраль,Q1,2024
2024-02-01,Одежда и обувь,9200,5980,3220,5,Adidas Ultraboost,Февраль,Q1,2024
2024-02-01,Бытовая техника,5200,3640,1560,8,Dyson Vacuum,Февраль,Q1,2024
2024-02-01,Мебель,3800,2280,1520,10,Memory Foam Mattress,Февраль,Q1,2024
2024-03-01,Электроника,19500,13650,5850,3,MacBook Air,Март,Q1,2024
2024-03-01,Одежда и обувь,10500,6825,3675,6,Levi's 501 Jeans,Март,Q1,2024
2024-03-01,Красота и здоровье,6800,4080,2720,11,Colgate Toothpaste,Март,Q1,2024
2024-03-01,Продукты,4500,2700,1800,13,Nescafe Coffee,Март,Q1,2024
2024-04-01,Электроника,14200,9940,4260,16,PlayStation 5,Апрель,Q2,2024
2024-04-01,Одежда и обувь,7500,4875,2625,19,Nike Sport T-shirt,Апрель,Q2,2024
2024-04-01,Красота и здоровье,7200,4320,2880,12,L'Oreal Shampoo,Апрель,Q2,2024
2024-04-01,Продукты,5200,3120,2080,14,Heinz Ketchup,Апрель,Q2,2024
2024-05-01,Электроника,15800,11060,4740,17,Xbox Series X,Май,Q2,2024
2024-05-01,Одежда и обувь,8800,5720,3080,20,Adidas Shorts,Май,Q2,2024
2024-05-01,Игрушки,3200,1920,1280,15,Lego Classic,Май,Q2,2024
2024-05-01,Электроника,12500,8750,3750,18,Canon EOS R6,Май,Q2,2024
2024-06-01,Электроника,17200,12040,5160,1,iPhone 14,Июнь,Q2,2024
2024-06-01,Одежда и обувь,9800,6370,3430,4,Nike Air Max,Июнь,Q2,2024
2024-06-01,Бытовая техника,6100,4270,1830,7,KitchenAid Mixer,Июнь,Q2,2024
2024-06-01,Мебель,4200,2520,1680,9,IKEA Billy Bookcase,Июнь,Q2,2024
2024-07-01,Электроника,18500,12950,5550,2,Samsung Galaxy S23,Июль,Q3,2024
2024-07-01,Одежда и обувь,11200,7280,3920,5,Adidas Ultraboost,Июль,Q3,2024
2024-07-01,Красота и здоровье,7800,4680,3120,11,Colgate Toothpaste,Июль,Q3,2024
2024-07-01,Продукты,5800,3480,2320,13,Nescafe Coffee,Июль,Q3,2024
2024-08-01,Электроника,16200,11340,4860,3,MacBook Air,Август,Q3,2024
2024-08-01,Одежда и обувь,9200,5980,3220,6,Levi's 501 Jeans,Август,Q3,2024
2024-08-01,Бытовая техника,5400,3780,1620,8,Dyson Vacuum,Август,Q3,2024
2024-08-01,Мебель,3600,2160,1440,10,Memory Foam Mattress,Август,Q3,2024
2024-09-01,Электроника,19800,13860,5940,16,PlayStation 5,Сентябрь,Q3,2024
2024-09-01,Одежда и обувь,10800,7020,3780,19,Nike Sport T-shirt,Сентябрь,Q3,2024
2024-09-01,Игрушки,4100,2460,1640,15,Lego Classic,Сентябрь,Q3,2024
2024-09-01,Электроника,13500,9450,4050,18,Canon EOS R6,Сентябрь,Q3,2024
2024-10-01,Электроника,15200,10640,4560,17,Xbox Series X,Октябрь,Q4,2024
2024-10-01,Одежда и обувь,8600,5590,3010,20,Adidas Shorts,Октябрь,Q4,2024
2024-10-01,Красота и здоровье,8200,4920,3280,12,L'Oreal Shampoo,Октябрь,Q4,2024
2024-10-01,Продукты,4900,2940,1960,14,Heinz Ketchup,Октябрь,Q4,2024
2024-11-01,Электроника,17500,12250,5250,1,iPhone 14,Ноябрь,Q4,2024
2024-11-01,Одежда и обувь,10200,6630,3570,4,Nike Air Max,Ноябрь,Q4,2024
2024-11-01,Бытовая техника,5800,4060,1740,7,KitchenAid Mixer,Ноябрь,Q4,2024
2024-11-01,Мебель,4400,2640,1760,9,IKEA Billy Bookcase,Ноябрь,Q4,2024
2024-12-01,Электроника,22500,15750,6750,2,Samsung Galaxy S23,Декабрь,Q4,2024
2024-12-01,Одежда и обувь,12800,8320,4480,5,Adidas Ultraboost,Декабрь,Q4,2024
2024-12-01,Красота и здоровье,9200,5520,3680,11,Colgate Toothpaste,Декабрь,Q4,2024
2024-12-01,Продукты,6200,3720,2480,13,Nescafe Coffee,Декабрь,Q4,2024